# z(m) T(K)
8.919598e-04 2.930000e+02
9.045226e-04 2.930000e+02
9.170854e-04 2.930000e+02
9.296482e-04 2.930000e+02
9.422111e-04 2.930000e+02
9.547739e-04 2.930000e+02
9.673367e-04 2.930000e+02
9.798995e-04 2.930000e+02
9.924623e-04 2.930000e+02
1.005025e-03 2.930000e+02
1.017588e-03 2.930000e+02
1.030151e-03 2.930000e+02
1.042714e-03 2.930000e+02
1.055276e-03 2.930000e+02
1.067839e-03 2.930000e+02
1.080402e-03 2.930000e+02
1.092965e-03 2.930000e+02
1.105528e-03 2.930000e+02
1.118090e-03 2.930000e+02
1.130653e-03 2.930000e+02
1.143216e-03 2.930000e+02
1.155779e-03 2.930000e+02
1.168342e-03 2.930000e+02
1.180905e-03 2.930000e+02
1.193467e-03 2.930000e+02
1.206030e-03 2.930000e+02
1.218593e-03 2.930000e+02
1.231156e-03 2.930000e+02
1.243719e-03 2.930000e+02
1.256281e-03 2.930000e+02
1.268844e-03 2.930000e+02
1.281407e-03 2.930000e+02
1.293970e-03 2.930000e+02
1.306533e-03 2.930000e+02
1.319095e-03 2.930000e+02
1.331658e-03 2.930000e+02
1.344221e-03 2.930000e+02
1.356784e-03 2.930000e+02
1.369347e-03 2.930000e+02
1.381910e-03 2.930000e+02
1.394472e-03 2.930000e+02
1.407035e-03 2.930000e+02
1.419598e-03 2.930000e+02
1.432161e-03 2.930000e+02
1.444724e-03 2.930000e+02
1.457286e-03 2.930000e+02
1.469849e-03 2.930000e+02
1.482412e-03 2.930000e+02
1.494975e-03 2.930000e+02
1.507538e-03 2.930000e+02
1.520101e-03 2.930000e+02
1.532663e-03 2.930000e+02
1.545226e-03 2.930000e+02
1.557789e-03 2.930000e+02
1.570352e-03 2.930000e+02
1.582915e-03 2.930000e+02
1.595477e-03 2.930000e+02
1.608040e-03 2.930000e+02
1.620603e-03 2.930000e+02
1.633166e-03 2.930000e+02
1.645729e-03 2.930000e+02
1.658291e-03 2.930000e+02
1.670854e-03 2.930000e+02
1.683417e-03 2.930000e+02
1.695980e-03 2.930000e+02
1.708543e-03 2.930000e+02
1.721106e-03 2.930000e+02
1.733668e-03 2.930000e+02
1.746231e-03 2.930000e+02
1.758794e-03 2.930000e+02
1.771357e-03 2.930000e+02
1.783920e-03 2.930000e+02
1.796482e-03 2.930000e+02
1.809045e-03 2.930000e+02
1.821608e-03 2.930000e+02
1.834171e-03 2.930000e+02
1.846734e-03 2.930000e+02
1.859296e-03 2.930000e+02
1.871859e-03 2.930000e+02
1.884422e-03 2.930000e+02
1.896985e-03 2.930000e+02
1.909548e-03 2.930000e+02
1.922111e-03 2.930000e+02
1.934673e-03 2.930000e+02
1.947236e-03 2.930000e+02
1.959799e-03 2.930000e+02
1.972362e-03 2.930000e+02
1.984925e-03 2.930000e+02
1.997487e-03 2.930000e+02
2.010050e-03 2.930000e+02
2.022613e-03 2.930000e+02
2.035176e-03 2.930000e+02
2.047739e-03 2.930000e+02
2.060302e-03 2.930000e+02
2.072864e-03 2.930000e+02
2.085427e-03 2.930000e+02
2.097990e-03 2.930000e+02
2.110553e-03 2.930000e+02
2.123116e-03 2.930000e+02
2.135678e-03 2.930000e+02
2.148241e-03 2.930000e+02
2.160804e-03 2.930000e+02
2.173367e-03 2.930000e+02
2.185930e-03 2.930000e+02
2.198492e-03 2.930000e+02
2.211055e-03 2.930000e+02
2.223618e-03 2.930000e+02
2.236181e-03 2.930000e+02
2.248744e-03 2.930000e+02
2.261307e-03 2.930000e+02
2.273869e-03 2.930000e+02
2.286432e-03 2.930000e+02
2.298995e-03 2.930000e+02
2.311558e-03 2.930000e+02
2.324121e-03 2.930000e+02
2.336683e-03 2.930000e+02
2.349246e-03 2.930000e+02
2.361809e-03 2.930000e+02
2.374372e-03 2.930000e+02
2.386935e-03 2.930000e+02
2.399497e-03 2.930000e+02
2.412060e-03 2.930000e+02
2.424623e-03 2.930000e+02
2.437186e-03 2.930000e+02
2.449749e-03 2.930000e+02
2.462312e-03 2.930000e+02
2.474874e-03 2.930000e+02
2.487437e-03 2.930000e+02
2.500000e-03 2.930000e+02
