# y(m) T(K)
4.748744e-03 2.930000e+02
4.773869e-03 2.930000e+02
4.798995e-03 2.930000e+02
4.824121e-03 2.930000e+02
4.849246e-03 2.930000e+02
4.874372e-03 2.930000e+02
4.899497e-03 2.930000e+02
4.924623e-03 2.930000e+02
4.949749e-03 2.930000e+02
4.974874e-03 2.930000e+02
5.000000e-03 2.930000e+02
